filename,title,authors,series,url,Category
9781328586476_142269eb-3815-4245-ad6a-3a725157cabd.jpg,Jorge el curioso: De basura a tesoro/Curious George: Trash into Treasure,H. A. Rey,Jorge el curioso,https://harpercollins.com/products/jorge-el-curioso-de-basura-a-tesorocurious-george-trash-into-treasure-h-a-rey,Beginning Readers
9781328586476_961cb690-ae55-4112-b78b-ab33b0baa6d9.jpg,Jorge El Curioso: De Basura A Tesoro / Curious George: Trash Into Treasure,H. A. Rey,Jorge El Curioso,https://harpercollins.com/products/jorge-el-curioso-de-basura-a-tesoro-curious-george-trash-into-treasure-h-a-rey,Beginning Readers
9780062572738_18db935b-76fd-4e62-9911-8ce3f11e8673.jpg,Frog and Toad Are Friends,Arnold Lobel,,https://harpercollins.com/products/frog-and-toad-are-friends-arnold-lobel,Beginning Readers
9780062572738_18db935b-76fd-4e62-9911-8ce3f11e8673.jpg,Frog and Toad Are Friends,Arnold Lobel,,https://harpercollins.com/products/frog-and-toad-are-friends-arnold-lobel,Picture Books
9780062572738_18db935b-76fd-4e62-9911-8ce3f11e8673.jpg,Frog and Toad Are Friends,Arnold Lobel,,https://harpercollins.com/products/frog-and-toad-are-friends-arnold-lobel,Beginning Readers
9780694011773_1cc07f99-8178-4f28-b59b-7826a40f2ed7.jpg,Five Little Pumpkins,"Public Domain, Dan Yaccarino",,https://harpercollins.com/products/five-little-pumpkins-public-domain-public-domain,Board Books
9780694011773_1cc07f99-8178-4f28-b59b-7826a40f2ed7.jpg,Five Little Pumpkins,"Public Domain, Dan Yaccarino",,https://harpercollins.com/products/five-little-pumpkins-public-domain-public-domain,Picture Books
9780063067011.jpg,"Hello, Biscuit. Hello, Friends.","Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/hello-biscuit-hello-friends-alyssa-satin-capucilli,Beginning Readers
9780063067011.jpg,"Hello, Biscuit. Hello, Friends.","Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/hello-biscuit-hello-friends-alyssa-satin-capucilli,Board Books
9780060254384_a11fa04b-92e6-44e7-bb7b-c02515ca34f3.jpg,Si le das una galletita a un ratón,"Laura Joffe Numeroff, Felicia Bond",,https://harpercollins.com/products/si-le-das-una-galletita-a-un-raton-laura-joffe-numerofflaura-joffe-numeroff,Board Books
9780060254384_a11fa04b-92e6-44e7-bb7b-c02515ca34f3.jpg,Si le das una galletita a un ratón,"Laura Joffe Numeroff, Felicia Bond",,https://harpercollins.com/products/si-le-das-una-galletita-a-un-raton-laura-joffe-numerofflaura-joffe-numeroff,Picture Books
9780694014255_347ffd0d-528b-484c-901b-688ad3244e1d.jpg,"Happy Birthday, Mouse!","Laura Numeroff, Felicia Bond",,https://harpercollins.com/products/happy-birthday-mouse-laura-numerofflaura-numeroff,Board Books
9780064434164_10d4b91e-c081-4235-844a-7d48971d630f.jpg,"Buenas noches, Luna","Margaret Wise Brown, Clement Hurd",,https://harpercollins.com/products/buenas-noches-luna-margaret-wise-brownmargaret-wise-brown,Board Books
9780064434164_10d4b91e-c081-4235-844a-7d48971d630f.jpg,"Buenas noches, Luna","Margaret Wise Brown, Clement Hurd",,https://harpercollins.com/products/buenas-noches-luna-margaret-wise-brownmargaret-wise-brown,Picture Books
